name,type,description
Lepirudin,biotech,
Cetuximab,biotech,
Dornase alfa,biotech,
,biotech,
Etanercept,biotech,
Bivalirudin,small molecule,
Leuprolide,biotech,
Peginterferon alfa-2a,biotech,
Alteplase,biotech,
Sermorelin,biotech,
Interferon alfa-n1,biotech,
Darbepoetin alfa,biotech,
Urokinase,biotech,
Goserelin,small molecule,
Reteplase,biotech,
Erythropoietin,biotech,
Salmon Calcitonin,biotech,
Interferon alfa-n3,biotech,
Pegfilgrastim,biotech,
Sargramostim,biotech,
Secretin,biotech,
Peginterferon alfa-2b,biotech,
Asparaginase Escherichia coli,biotech,
Thyrotropin Alfa,biotech,
"Antihemophilic factor, human recombinant",biotech,
Anakinra,biotech,
Gramicidin D,small molecule,
Immune Globulin Human,biotech,
Anistreplase,biotech,
Insulin Human,biotech,
Tenecteplase,biotech,
Menotropins,biotech,
Interferon gamma-1b,biotech,
"Interferon Alfa-2a, Recombinant",biotech,
Desmopressin,small molecule,
Coagulation factor VIIa Recombinant Human,biotech,
Oprelvekin,biotech,
Palifermin,biotech,
Glucagon recombinant,biotech,
Aldesleukin,biotech,
Botulinum Toxin Type B,biotech,
Omalizumab,biotech,
Lutropin alfa,biotech,
Lyme disease vaccine (recombinant OspA),biotech,
Insulin Lispro,biotech,
Insulin Glargine,biotech,
Collagenase clostridium histolyticum,biotech,
Rasburicase,biotech,
Cetrorelix,small molecule,
Adalimumab,biotech,
Somatotropin,biotech,
Imiglucerase,biotech,
Abciximab,biotech,
Drotrecogin alfa,biotech,
Gemtuzumab ozogamicin,biotech,
Indium In-111 satumomab pendetide,biotech,
Alpha-1-proteinase inhibitor,biotech,
Pegaspargase,biotech,
Interferon beta-1a,biotech,
Pegademase bovine,biotech,
Human Serum Albumin,biotech,
Eptifibatide,biotech,
Infliximab,biotech,
Follitropin,biotech,
Vasopressin,small molecule,
Interferon beta-1b,biotech,
Interferon alfacon-1,biotech,
Hyaluronidase,biotech,
Insulin Pork,biotech,
Trastuzumab,biotech,
Rituximab,biotech,
Basiliximab,biotech,
Muromonab,biotech,
Digoxin Immune Fab (Ovine),biotech,
Ibritumomab tiuxetan,biotech,
Daptomycin,small molecule,
Tositumomab,biotech,
Pegvisomant,biotech,
Botulinum Toxin Type A,biotech,
Pancrelipase,biotech,
Streptokinase,biotech,
Alemtuzumab,biotech,
Alglucerase,biotech,
Capromab pendetide,biotech,
Laronidase,biotech,
Cyclosporine,small molecule,
Alefacept,biotech,
Felypressin,small molecule,
Urofollitropin,biotech,
,biotech,
Choriogonadotropin alfa,biotech,
Antithymocyte immunoglobulin (rabbit),biotech,
Filgrastim,biotech,
Coagulation Factor IX (Recombinant),biotech,
Becaplermin,biotech,
Agalsidase beta,biotech,
Octreotide,small molecule,
"Interferon Alfa-2b, Recombinant",biotech,
Abarelix,small molecule,
Oxytocin,biotech,
Natalizumab,biotech,
Enfuvirtide,biotech,
Palivizumab,biotech,
Daclizumab,biotech,
Bevacizumab,biotech,
Technetium Tc-99m arcitumomab,biotech,
Pyridoxal Phosphate,small molecule,
Cyanocobalamin,small molecule,
Tetrahydrofolic acid,small molecule,
,small molecule,
Ademetionine,small molecule,
Pyruvic acid,small molecule,
L-Phenylalanine,small molecule,
Biotin,small molecule,
Choline,small molecule,
L-Lysine,small molecule,
L-Arginine,small molecule,
Vitamin C,small molecule,
Spermine,small molecule,
L-Aspartic Acid,small molecule,
Ornithine,small molecule,
L-Glutamine,small molecule,
Adenosine monophosphate,small molecule,
Alpha-Linolenic Acid,small molecule,
Serine,small molecule,
Methionine,small molecule,
L-Tyrosine,small molecule,
Calcitriol,small molecule,
Lutein,small molecule,
Cystine,small molecule,
Succinic acid,small molecule,
Riboflavin,small molecule,
N-Acetylglucosamine,small molecule,
Glutamic Acid,small molecule,
Glutathione,small molecule,
Phosphatidyl serine,small molecule,
Glycine,small molecule,
Calcidiol,small molecule,
Pyridoxal,small molecule,
Creatine,small molecule,
L-Leucine,small molecule,
L-Tryptophan,small molecule,
L-Cysteine,small molecule,
Thiamine,small molecule,
Ergocalciferol,small molecule,
Dihomo-gamma-linolenic acid,small molecule,
