"rules","support","confidence","lift","count","lift2"
"{Gamma-GT, GGT_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{SEDIMENT (Routine)_CHECK,Sodium, Na_CHECK} => {PSA_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,Potassium, K_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,Potassium, K_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,Sodium, Na_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,Sodium, Na_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{CBC & platelet_CHECK,Gamma-GT, GGT_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{CBC & platelet_CHECK,Chloride, Cl_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,HbA1c_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,HbA1c_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,Glucose (AC)_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,Glucose (AC)_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,HDL_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,HDL_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,LDL_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,LDL_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{Champix tablet_SMOKE,Gamma-GT, GGT_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Champix tablet_SMOKE,Chloride, Cl_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{HbA1c_CHECK,Sodium, Na_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
"{HbA1c_CHECK,Sodium, Na_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{CBC & platelet_CHECK,SEDIMENT (Routine)_CHECK,Sodium, Na_CHECK} => {PSA_CHECK}",0.1,1,10,4,10
"{Champix tablet_SMOKE,SEDIMENT (Routine)_CHECK,Sodium, Na_CHECK} => {PSA_CHECK}",0.1,1,10,4,10
"{Gamma-GT, GGT_CHECK,Potassium, K_CHECK,Sodium, Na_CHECK} => {Chloride, Cl_CHECK}",0.1,1,10,4,10
"{Chloride, Cl_CHECK,Potassium, K_CHECK,Sodium, Na_CHECK} => {Gamma-GT, GGT_CHECK}",0.1,1,10,4,10
