"rules","support","confidence","lift","count","lift2"
"{Amoxicillin_MEDICINE} => {PARAMOL_MEDICINE}",0.107142857142857,1,4,3,4
"{PARAMOL_MEDICINE} => {Amoxicillin_MEDICINE}",0.107142857142857,0.428571428571429,4,3,4
"{(DC)Gaster D_MEDICINE} => {PARAMOL_MEDICINE}",0.107142857142857,1,4,3,4
"{PARAMOL_MEDICINE} => {(DC)Gaster D_MEDICINE}",0.107142857142857,0.428571428571429,4,3,4
"{Amoxicillin_MEDICINE,Champix tablet_SMOKE} => {PARAMOL_MEDICINE}",0.107142857142857,1,4,3,4
"{Champix tablet_SMOKE,PARAMOL_MEDICINE} => {Amoxicillin_MEDICINE}",0.107142857142857,0.428571428571429,4,3,4
"{(DC)Gaster D_MEDICINE,Champix tablet_SMOKE} => {PARAMOL_MEDICINE}",0.107142857142857,1,4,3,4
"{Champix tablet_SMOKE,PARAMOL_MEDICINE} => {(DC)Gaster D_MEDICINE}",0.107142857142857,0.428571428571429,4,3,4
"{PARAMOL_MEDICINE} => {Champix tablet_SMOKE}",0.25,1,1,7,1
"{Amoxicillin_MEDICINE} => {Champix tablet_SMOKE}",0.107142857142857,1,1,3,1
"{Augmentin_MEDICINE} => {Champix tablet_SMOKE}",0.107142857142857,1,1,3,1
"{(DC)Gaster D_MEDICINE} => {Champix tablet_SMOKE}",0.107142857142857,1,1,3,1
"{Amoxicillin_MEDICINE,PARAMOL_MEDICINE} => {Champix tablet_SMOKE}",0.107142857142857,1,1,3,1
"{(DC)Gaster D_MEDICINE,PARAMOL_MEDICINE} => {Champix tablet_SMOKE}",0.107142857142857,1,1,3,1
